time,thrust
1522,4.625
1523,4.625
1524,4.625
1525,4.625
1526,4.625
1527,4.625
1528,4.625
1529,4.625
1530,4.625
1531,4.625
1532,4.625
1533,4.625
1534,4.625
1535,4.625
1536,4.625
1537,4.625
1538,4.625
1539,4.625
1540,4.625
1541,4.625
1542,4.625
1543,4.625
1544,4.625
1545,4.625
1546,4.625
1547,4.625
1548,4.625
1549,4.625
1550,4.625
1551,4.625
1552,4.625
1553,4.625
1554,4.625
1555,4.625
1556,4.625
1557,4.625
1558,4.625
1559,4.625
1560,4.625
1561,4.625
1562,4.625
1563,4.625
1564,4.625
1565,4.625
1566,4.625
1567,4.625
1568,4.625
1569,4.625
1570,4.625
1571,4.625
1572,4.625
1573,4.625
1574,4.625
1575,4.625
1576,4.625
1577,4.625
1578,4.625
1579,4.625
1580,4.625
1581,4.625
1582,4.625
1583,4.625
1584,4.625
1585,4.625
1586,4.625
1587,4.625
1588,4.625
1589,4.625
1590,4.625
1591,4.625
1592,4.625
1593,4.625
1594,4.625
1595,4.625
1596,4.625
1597,4.625
1598,4.625
1599,4.625
1600,4.625
1601,4.625
1602,4.625
1603,4.625
1604,4.625
1605,4.625
1606,4.625
1607,4.625
1608,4.625
1609,4.62676087
1610,4.628521739
1611,4.630282609
1612,4.632043478
1613,4.633804348
1614,4.635565217
1615,4.637326087
1616,4.639086957
1617,4.640847826
1618,4.642608696
1619,4.644369565
1620,4.646130435
1621,4.647891304
1622,4.649652174
1623,4.651413043
1624,4.653173913
1625,4.654934783
1626,4.656695652
1627,4.658456522
1628,4.660217391
1629,4.661978261
1630,4.66373913
1631,4.6655
1632,4.66726087
1633,4.669021739
1634,4.670782609
1635,4.672543478
1636,4.674304348
1637,4.676065217
1638,4.677826087
1639,4.679586957
1640,4.681347826
1641,4.683108696
1642,4.684869565
1643,4.686630435
1644,4.688391304
1645,4.690152174
1646,4.691913043
1647,4.693673913
1648,4.695434783
1649,4.697195652
1650,4.698956522
1651,4.700717391
1652,4.702478261
1653,4.70423913
1654,4.706
1655,4.70776087
1656,4.709521739
1657,4.711282609
1658,4.713043478
1659,4.714804348
1660,4.716565217
1661,4.718326087
1662,4.720086957
1663,4.721847826
1664,4.723608696
1665,4.725369565
1666,4.727130435
1667,4.728891304
1668,4.730652174
1669,4.732413043
1670,4.734173913
1671,4.735934783
1672,4.737695652
1673,4.739456522
1674,4.741217391
1675,4.742978261
1676,4.74473913
1677,4.7465
1678,4.74826087
1679,4.750021739
1680,4.751782609
1681,4.753543478
1682,4.755304348
1683,4.757065217
1684,4.758826087
1685,4.760586957
1686,4.762347826
1687,4.764108696
1688,4.765869565
1689,4.767630435
1690,4.769391304
1691,4.771152174
1692,4.772913043
1693,4.774673913
1694,4.776434783
1695,4.778195652
1696,4.779956522
1697,4.781717391
1698,4.783478261
1699,4.78523913
1700,4.787
1701,4.78876087
1702,4.790521739
1703,4.792282609
1704,4.794043478
1705,4.795804348
1706,4.797565217
1707,4.799326087
1708,4.801086957
1709,4.802847826
1710,4.804608696
1711,4.806369565
1712,4.808130435
1713,4.809891304
1714,4.811652174
1715,4.813413043
1716,4.815173913
1717,4.816934783
1718,4.818695652
